brand,km_driven,fuel,owner,selling_price,brand_updated
Volkswagen,13000,Petrol,First Owner,480000,Volkswagen
Hyundai,60000,Petrol,Second Owner,400000,Hyundai
Maruti,35000,Petrol,First Owner,487000,Maruti
Hyundai,44000,Petrol,Second Owner,386000,Hyundai
Honda,120000,Petrol,Second Owner,100000,Honda
Toyota,60000,Diesel,First Owner,300000,Toyota
Daewoo,60000,Petrol,First Owner,100000,Others
Toyota,30000,Diesel,Second Owner,1750000,Toyota
Mahindra,15000,Petrol,Second Owner,450000,Mahindra
Tata,90000,Diesel,First Owner,490000,Tata
Honda,47000,Petrol,Second Owner,345000,Honda
Maruti,90000,Petrol,First Owner,85000,Maruti
Maruti,120600,Petrol,Second Owner,215000,Maruti
Hyundai,100000,Petrol,Third Owner,320000,Hyundai
Maruti,60000,Petrol,Second Owner,459999,Maruti
Hyundai,86000,Petrol,First Owner,65000,Hyundai
Hyundai,5000,Petrol,First Owner,720000,Hyundai
Maruti,37000,Diesel,First Owner,800000,Maruti
Tata,14000,Petrol,First Owner,520000,Tata
Maruti,70000,Diesel,First Owner,580000,Maruti
Toyota,120000,Diesel,First Owner,235000,Toyota
Honda,50000,Petrol,First Owner,600000,Honda
Honda,60000,Petrol,Second Owner,290000,Honda
Maruti,50000,CNG,First Owner,360000,Maruti
Maruti,50000,Petrol,First Owner,550000,Maruti
Hyundai,70000,Petrol,First Owner,375000,Hyundai
Maruti,90000,Petrol,Second Owner,40000,Maruti
Maruti,35000,Petrol,First Owner,420000,Maruti
Maruti,20000,Petrol,First Owner,550000,Maruti
Maruti,20000,Petrol,First Owner,270000,Maruti
Maruti,7800,Petrol,First Owner,700000,Maruti
Maruti,20000,Petrol,First Owner,500000,Maruti
Tata,15000,Diesel,First Owner,1250000,Tata
Hyundai,31377,Petrol,Second Owner,320000,Hyundai
Maruti,50000,Diesel,First Owner,700000,Maruti
Maruti,60000,Petrol,First Owner,290000,Maruti
Toyota,100000,Petrol,First Owner,550000,Toyota
Honda,60000,Petrol,First Owner,265000,Honda
Maruti,5000,Petrol,First Owner,830000,Maruti
Tata,60000,Diesel,First Owner,800000,Tata
Maruti,25000,Petrol,Second Owner,160000,Maruti
Renault,30000,Petrol,First Owner,335000,Renault
Datsun,80000,Petrol,Second Owner,329000,Datsun
Maruti,75000,Diesel,First Owner,775000,Maruti
Hyundai,32000,Petrol,First Owner,524000,Hyundai
Maruti,40000,Petrol,First Owner,245000,Maruti
Hyundai,93000,Petrol,Second Owner,275000,Hyundai
Tata,60000,Petrol,First Owner,520000,Tata
Maruti,120000,Petrol,Second Owner,130000,Maruti
Nissan,37000,Petrol,First Owner,550000,Nissan
Ford,15000,Petrol,First Owner,910000,Ford
Nissan,80000,Petrol,First Owner,300000,Nissan
Maruti,140000,Petrol,First Owner,350000,Maruti
Mahindra,70000,Diesel,First Owner,900000,Mahindra
Mahindra,120000,Diesel,Second Owner,300000,Mahindra
Maruti,110000,Diesel,Second Owner,250000,Maruti
Hyundai,37000,Diesel,First Owner,1100000,Hyundai
Renault,44000,Petrol,First Owner,270000,Renault
Maruti,80000,Diesel,First Owner,640000,Maruti
Mahindra,125000,Diesel,First Owner,650000,Mahindra
Maruti,13500,Petrol,First Owner,409999,Maruti
Hyundai,75000,Petrol,First Owner,165000,Hyundai
Hyundai,120000,Petrol,Second Owner,80000,Hyundai
Mahindra,120000,Diesel,First Owner,535000,Mahindra
Toyota,70000,Diesel,First Owner,700000,Toyota
Maruti,70000,Diesel,First Owner,550000,Maruti
Honda,15000,Petrol,First Owner,680000,Honda
Hyundai,53000,Petrol,Second Owner,200000,Hyundai
Maruti,120000,Diesel,Second Owner,500000,Maruti
Maruti,70000,Diesel,First Owner,1000000,Maruti
Hyundai,120000,Petrol,Second Owner,110000,Hyundai
Hyundai,100000,Petrol,Second Owner,320000,Hyundai
Tata,110000,Diesel,Second Owner,75000,Tata
Maruti,100000,Petrol,First Owner,350000,Maruti
Tata,162500,Diesel,First Owner,170000,Tata
Hyundai,39000,Diesel,First Owner,800000,Hyundai
Maruti,75000,Diesel,First Owner,500000,Maruti
Tata,50000,Diesel,First Owner,1380000,Tata
Mahindra,40000,Diesel,First Owner,1300000,Mahindra
Hyundai,92500,Diesel,First Owner,530000,Hyundai
Maruti,158000,Diesel,First Owner,360000,Maruti
Maruti,120000,Diesel,First Owner,310000,Maruti
Honda,50000,Diesel,Second Owner,725000,Honda
Maruti,110000,Diesel,First Owner,340000,Maruti
Hyundai,2000,Diesel,Second Owner,550000,Hyundai
Toyota,181000,Diesel,Second Owner,1150000,Toyota
Tata,70000,Diesel,First Owner,380000,Tata
Nissan,90000,Petrol,Second Owner,350000,Nissan
Hyundai,2000,Petrol,First Owner,610000,Hyundai
Maruti,20000,Petrol,First Owner,525000,Maruti
Toyota,120000,Diesel,First Owner,480000,Toyota
Mahindra,35000,Diesel,First Owner,780000,Mahindra
Maruti,193000,Diesel,First Owner,320000,Maruti
Maruti,80000,Petrol,First Owner,375000,Maruti
Datsun,40000,Petrol,First Owner,300000,Datsun
Hyundai,70000,Diesel,Fourth & Above Owner,500000,Hyundai
Mahindra,122358,Diesel,First Owner,404000,Mahindra
Tata,75000,Diesel,First Owner,500000,Tata
Tata,120000,Diesel,First Owner,350000,Tata
Tata,40000,Petrol,First Owner,380000,Tata
Hyundai,95200,Petrol,Third Owner,114999,Hyundai
Honda,33033,Petrol,First Owner,335000,Honda
Hyundai,63063,Petrol,First Owner,465000,Hyundai
Tata,60000,Diesel,First Owner,290000,Tata
Maruti,45000,Petrol,Second Owner,110000,Maruti
Tata,80000,Diesel,Third Owner,450000,Tata
Mahindra,170000,Diesel,Second Owner,400000,Mahindra
Mahindra,207890,Diesel,Second Owner,210000,Mahindra
Mercedes-Benz,7976,Diesel,First Owner,4600000,Mercedes-Benz
Maruti,35000,Petrol,First Owner,220000,Maruti
Hyundai,35000,Petrol,First Owner,450000,Hyundai
Hyundai,35000,Petrol,First Owner,450000,Hyundai
Hyundai,50000,Petrol,First Owner,290000,Hyundai
Maruti,20000,Petrol,First Owner,520000,Maruti
Hyundai,20000,Petrol,First Owner,265000,Hyundai
Maruti,50000,Petrol,Second Owner,330000,Maruti
Maruti,50000,Petrol,Second Owner,330000,Maruti
Mahindra,120000,Diesel,First Owner,509999,Mahindra
Hyundai,70000,Petrol,First Owner,500000,Hyundai
Hyundai,50000,Petrol,First Owner,525000,Hyundai
Maruti,16500,Petrol,First Owner,675000,Maruti
Hyundai,70000,Petrol,First Owner,300000,Hyundai
Maruti,99361,Petrol,Second Owner,90000,Maruti
Maruti,25000,Diesel,First Owner,650000,Maruti
Maruti,70000,Petrol,Second Owner,409000,Maruti
Hyundai,80000,Diesel,Second Owner,395000,Hyundai
Maruti,70000,Petrol,Second Owner,215000,Maruti
Maruti,70000,Petrol,Second Owner,400000,Maruti
Chevrolet,60000,Petrol,Third Owner,120000,Chevrolet
Tata,10000,Petrol,First Owner,645000,Tata
Maruti,80000,Petrol,First Owner,81000,Maruti
Honda,30000,Diesel,First Owner,1300000,Honda
Honda,33000,Diesel,First Owner,1250000,Honda
Maruti,90000,Petrol,Third Owner,535000,Maruti
Nissan,80100,Diesel,Second Owner,555000,Nissan
Honda,120000,Petrol,First Owner,725000,Honda
Mahindra,10000,Diesel,Third Owner,300000,Mahindra
Renault,40000,Petrol,First Owner,229999,Renault
Toyota,160000,Diesel,Second Owner,800000,Toyota
Maruti,47000,Petrol,First Owner,409999,Maruti
Hyundai,25000,Diesel,First Owner,1210000,Hyundai
Tata,26000,Petrol,First Owner,400000,Tata
Hyundai,29000,Diesel,First Owner,520000,Hyundai
Maruti,50000,Petrol,First Owner,650000,Maruti
Maruti,58000,Petrol,Third Owner,325000,Maruti
Maruti,120000,Petrol,First Owner,420000,Maruti
Maruti,50000,Petrol,First Owner,400000,Maruti
Hyundai,80000,Petrol,Fourth & Above Owner,254999,Hyundai
Maruti,60000,Petrol,Fourth & Above Owner,65000,Maruti
Maruti,36000,Petrol,First Owner,351000,Maruti
Toyota,120000,Diesel,Third Owner,404000,Toyota
Maruti,185000,Diesel,Third Owner,185000,Maruti
Nissan,50000,Diesel,First Owner,250000,Nissan
Maruti,100000,Petrol,Fourth & Above Owner,60000,Maruti
Hyundai,50000,Petrol,Second Owner,500000,Hyundai
Maruti,80000,Petrol,Second Owner,85000,Maruti
Hyundai,60000,Petrol,Second Owner,85000,Hyundai
Maruti,80000,Petrol,Fourth & Above Owner,85000,Maruti
Maruti,90000,Diesel,Fourth & Above Owner,265000,Maruti
Maruti,162000,Petrol,Second Owner,130000,Maruti
Maruti,110000,Diesel,Third Owner,480000,Maruti
Maruti,120000,Diesel,Third Owner,170000,Maruti
Nissan,45000,Diesel,First Owner,275000,Nissan
Maruti,90000,Petrol,Second Owner,89000,Maruti
Ford,90000,Diesel,Second Owner,170000,Ford
Mahindra,16500,Petrol,First Owner,1090000,Mahindra
Hyundai,67000,Diesel,First Owner,1100000,Hyundai
Maruti,52000,Petrol,First Owner,610000,Maruti
Datsun,40000,Petrol,First Owner,335000,Datsun
Hyundai,40000,Petrol,First Owner,434999,Hyundai
Toyota,35000,Diesel,First Owner,3000000,Toyota
Renault,13000,Petrol,First Owner,390000,Renault
Honda,40000,Petrol,First Owner,325000,Honda
Volkswagen,10000,Petrol,First Owner,640000,Volkswagen
Nissan,9000,Petrol,First Owner,450000,Nissan
Toyota,70000,Diesel,Second Owner,400000,Toyota
Hyundai,60000,Petrol,First Owner,215000,Hyundai
Renault,40000,Diesel,First Owner,570000,Renault
Mahindra,93000,Diesel,First Owner,680000,Mahindra
Toyota,80000,Diesel,Fourth & Above Owner,325000,Toyota
Tata,50000,Petrol,Second Owner,150000,Tata
Hyundai,68000,Petrol,First Owner,690000,Hyundai
Mercedes-Benz,25000,Diesel,First Owner,1550000,Mercedes-Benz
Tata,18000,Petrol,First Owner,64000,Tata
Nissan,120000,Diesel,First Owner,250000,Nissan
Maruti,35000,Petrol,First Owner,65000,Maruti
Maruti,60000,Diesel,Second Owner,550000,Maruti
Hyundai,70000,Petrol,Fourth & Above Owner,140000,Hyundai
Renault,30000,Petrol,First Owner,300000,Renault
Volkswagen,70000,Petrol,First Owner,800000,Volkswagen
Jaguar,9000,Diesel,First Owner,2625000,Jaguar
Lexus,20000,Petrol,First Owner,5150000,Lexus
Jaguar,45000,Diesel,First Owner,3200000,Jaguar
Tata,110000,Diesel,First Owner,503000,Tata
Volvo,20000,Diesel,First Owner,3800000,Volvo
Toyota,68089,Petrol,First Owner,2000000,Toyota
Maruti,58343,Petrol,First Owner,225000,Maruti
Maruti,38817,Diesel,First Owner,740000,Maruti
Honda,56494,Petrol,First Owner,550000,Honda
Toyota,79328,Diesel,Second Owner,750000,Toyota
Maruti,5621,Petrol,First Owner,650000,Maruti
Toyota,25538,Petrol,First Owner,625000,Toyota
Maruti,69779,Petrol,First Owner,600000,Maruti
Hyundai,56290,Diesel,First Owner,450000,Hyundai
BMW,7500,Diesel,First Owner,5400000,BMW
BMW,8500,Diesel,First Owner,5500000,BMW
Honda,7032,Petrol,First Owner,779000,Honda
Skoda,11000,Petrol,First Owner,645000,Skoda
Volvo,2000,Diesel,First Owner,2475000,Volvo
Hyundai,106000,Petrol,Third Owner,150000,Hyundai
Toyota,162000,Diesel,Third Owner,265000,Toyota
Honda,120000,Petrol,Second Owner,500000,Honda
Maruti,90000,Diesel,First Owner,480000,Maruti
Hyundai,70000,Diesel,Third Owner,535000,Hyundai
Toyota,240000,Diesel,Third Owner,250000,Toyota
Maruti,100000,Diesel,Second Owner,300000,Maruti
Hyundai,214000,Petrol,Second Owner,340000,Hyundai
Hyundai,214000,Diesel,Second Owner,340000,Hyundai
Maruti,50000,Petrol,First Owner,240000,Maruti
Honda,1000,Petrol,First Owner,1085000,Honda
Maruti,19000,Diesel,First Owner,750000,Maruti
Tata,265000,Diesel,Second Owner,95000,Tata
Maruti,35000,CNG,First Owner,409999,Maruti
Maruti,80000,Petrol,Second Owner,215000,Maruti
Mahindra,50000,Diesel,First Owner,1290000,Mahindra
Maruti,80000,Petrol,First Owner,150000,Maruti
Hyundai,50000,Petrol,Second Owner,219000,Hyundai
Tata,100000,Petrol,First Owner,325000,Tata
Maruti,120000,Petrol,Second Owner,260000,Maruti
Jaguar,9000,Diesel,First Owner,2625000,Jaguar
Lexus,20000,Petrol,First Owner,5150000,Lexus
Jaguar,45000,Diesel,First Owner,3200000,Jaguar
Tata,110000,Diesel,First Owner,503000,Tata
Volvo,20000,Diesel,First Owner,3800000,Volvo
Toyota,68089,Petrol,First Owner,2000000,Toyota
Maruti,58343,Petrol,First Owner,225000,Maruti
Maruti,38817,Diesel,First Owner,740000,Maruti
Honda,56494,Petrol,First Owner,550000,Honda
Toyota,79328,Diesel,Second Owner,750000,Toyota
Maruti,5621,Petrol,First Owner,650000,Maruti
Toyota,25538,Petrol,First Owner,625000,Toyota
Maruti,69779,Petrol,First Owner,600000,Maruti
Hyundai,56290,Diesel,First Owner,450000,Hyundai
BMW,7500,Diesel,First Owner,5400000,BMW
BMW,8500,Diesel,First Owner,5500000,BMW
Honda,7032,Petrol,First Owner,779000,Honda
Skoda,11000,Petrol,First Owner,645000,Skoda
Volvo,2000,Diesel,First Owner,2475000,Volvo
Honda,40000,Diesel,First Owner,700000,Honda
Hyundai,45000,Diesel,First Owner,950000,Hyundai
Maruti,80000,Petrol,Second Owner,160000,Maruti
Hyundai,135000,Diesel,Second Owner,409999,Hyundai
Toyota,120000,Diesel,Second Owner,840000,Toyota
Toyota,67000,Diesel,First Owner,450000,Toyota
Maruti,50000,Diesel,First Owner,900000,Maruti
Toyota,134000,Diesel,Second Owner,570000,Toyota
Nissan,110000,Diesel,Second Owner,254999,Nissan
Maruti,40000,Petrol,First Owner,130000,Maruti
Maruti,120000,Diesel,Second Owner,530000,Maruti
Volkswagen,110000,Diesel,Second Owner,520000,Volkswagen
Mahindra,170000,Diesel,Second Owner,229999,Mahindra
Maruti,80000,Petrol,Second Owner,81000,Maruti
Maruti,47000,Diesel,First Owner,600000,Maruti
Hyundai,93000,Petrol,First Owner,409999,Hyundai
Maruti,70000,Petrol,Second Owner,120000,Maruti
Maruti,50000,Petrol,First Owner,320000,Maruti
Ford,70000,Diesel,First Owner,292000,Ford
Tata,80000,Diesel,First Owner,390000,Tata
Ford,44000,Petrol,First Owner,550000,Ford
Maruti,25000,Petrol,First Owner,385000,Maruti
Hyundai,25000,Petrol,First Owner,800000,Hyundai
Maruti,10000,Petrol,First Owner,675000,Maruti
Tata,50000,Diesel,First Owner,1525000,Tata
Ford,30000,Diesel,First Owner,950000,Ford
Hyundai,50000,Diesel,Second Owner,610000,Hyundai
Hyundai,120000,Diesel,First Owner,525000,Hyundai
Honda,40000,Diesel,First Owner,700000,Honda
Mahindra,80000,Diesel,First Owner,375000,Mahindra
Nissan,90000,Diesel,First Owner,580000,Nissan
Maruti,50000,Petrol,Second Owner,434999,Maruti
Datsun,2136,Petrol,First Owner,350000,Datsun
Toyota,250000,Diesel,First Owner,730000,Toyota
Hyundai,35000,Petrol,First Owner,600000,Hyundai
Toyota,120000,Diesel,First Owner,1050000,Toyota
Maruti,70000,Diesel,First Owner,735000,Maruti
Renault,18000,Diesel,First Owner,1050000,Renault
Chevrolet,110000,Diesel,Second Owner,420000,Chevrolet
Maruti,60000,Diesel,First Owner,800000,Maruti
Toyota,60000,Diesel,First Owner,2000000,Toyota
Maruti,147000,Diesel,Second Owner,600000,Maruti
Toyota,130000,Diesel,First Owner,1900000,Toyota
Chevrolet,99500,Diesel,Third Owner,500000,Chevrolet
Tata,110000,Diesel,Second Owner,200000,Tata
Nissan,35000,Petrol,First Owner,370000,Nissan
Hyundai,110000,Diesel,Second Owner,260000,Hyundai
Mahindra,100000,Diesel,First Owner,280000,Mahindra
Maruti,21000,Petrol,First Owner,610000,Maruti
Ford,60000,Diesel,Second Owner,300000,Ford
Tata,40000,Diesel,First Owner,140000,Tata
Hyundai,50000,Petrol,First Owner,229999,Hyundai
Maruti,65000,Petrol,Second Owner,200000,Maruti
Maruti,80000,Petrol,First Owner,200000,Maruti
Hyundai,119000,Diesel,First Owner,560000,Hyundai
Maruti,80000,Diesel,First Owner,750000,Maruti
Maruti,90000,Diesel,First Owner,585000,Maruti
Hyundai,20000,Petrol,First Owner,760000,Hyundai
Maruti,80000,Diesel,Second Owner,430000,Maruti
Mahindra,44665,Diesel,First Owner,480000,Mahindra
Kia,10000,Diesel,First Owner,643000,Others
Hyundai,60000,Petrol,First Owner,500000,Hyundai
Honda,22000,Petrol,First Owner,425000,Honda
Maruti,25000,Petrol,First Owner,250000,Maruti
Maruti,70000,Diesel,First Owner,285000,Maruti
Maruti,123000,Petrol,Third Owner,160000,Maruti
Volkswagen,70000,Diesel,Second Owner,250000,Volkswagen
Chevrolet,70000,Petrol,Second Owner,170000,Chevrolet
Toyota,45000,Diesel,First Owner,409999,Toyota
Hyundai,40000,Petrol,First Owner,400000,Hyundai
Maruti,30000,Diesel,First Owner,700000,Maruti
Honda,90000,Petrol,First Owner,350000,Honda
Maruti,34000,Petrol,Second Owner,660000,Maruti
Maruti,25000,Petrol,First Owner,268000,Maruti
Maruti,50000,Petrol,First Owner,270000,Maruti
Chevrolet,50000,Diesel,First Owner,300000,Chevrolet
Tata,90000,Petrol,First Owner,450000,Tata
Chevrolet,70000,Diesel,Second Owner,220000,Chevrolet
Tata,146000,Diesel,Second Owner,250000,Tata
Ford,85000,Petrol,Second Owner,300000,Ford
Tata,201850,Diesel,Second Owner,88000,Tata
Maruti,30000,Diesel,First Owner,561000,Maruti
Maruti,15000,Diesel,First Owner,755000,Maruti
Datsun,25000,Petrol,First Owner,235000,Datsun
Maruti,90000,Petrol,First Owner,165000,Maruti
Maruti,80000,Diesel,Second Owner,190000,Maruti
Tata,50000,Diesel,First Owner,110000,Tata
Mahindra,80000,Diesel,Second Owner,320000,Mahindra
Maruti,110000,Diesel,Second Owner,330000,Maruti
Hyundai,38000,Petrol,First Owner,540000,Hyundai
